nhl_game_id,play_by_play_id,is_goal,is_sog,shot_distance,abs_shot_angle,shot_type_bucket,rebound_bucket,rush_bucket,strength_bucket,shot_side,off_wing,previous_event_type,previous_event_seconds_delta,score_state_bucket,time_bucket,period_bucket
2025020945,2530022,0,0,12.04,48.366,snap,rebound,rush_attempt,pp,center,unknown,blocked-shot,3,leading_by_1,early_period,p3
2025020945,2530023,0,1,11.05,5.194,deflection,rebound,rush_rebound,pp,center,unknown,missed-shot,0,leading_by_1,early_period,p3
2025020945,2530026,0,1,6.71,153.435,tip,not_rebound,rush_attempt,ev,center,unknown,giveaway,4,trailing_by_1,early_period,p3
2025020945,2530031,0,1,34.66,133.831,snap,not_rebound,rush_attempt,ev,right,true,giveaway,7,trailing_by_1,early_period,p3
2025020945,2530035,0,1,64.07,145.814,wrist,rebound,rush_attempt,ev,right,true,blocked-shot,3,trailing_by_1,early_period,p3
2025020945,2530038,0,1,56.61,17.475,snap,not_rebound,not_rush,ev,right,true,faceoff,28,leading_by_1,early_period,p3
2025020945,2530040,0,1,54.45,44.256,snap,not_rebound,not_rush,ev,right,true,hit,13,leading_by_1,early_period,p3
2025020945,2530041,0,1,62.97,159.550,snap,not_rebound,not_rush,ev,right,true,shot-on-goal,20,trailing_by_1,early_period,p3
2025020945,2530042,1,1,8.25,165.964,wrist,rebound,not_rush,ev,center,unknown,shot-on-goal,3,trailing_by_1,early_period,p3
2025020945,2530049,0,1,58.60,154.747,snap,not_rebound,not_rush,ev,left,true,faceoff,26,tied,early_period,p3
2025020945,2530062,0,0,25.81,125.538,wrist,not_rebound,not_rush,ev,left,unknown,giveaway,29,tied,middle_period,p3
2025020945,2530064,0,1,59.41,173.234,slap,not_rebound,rush_attempt,ev,center,unknown,blocked-shot,4,tied,middle_period,p3
2025020945,2530073,0,1,33.60,53.471,snap,not_rebound,not_rush,ev,left,true,takeaway,15,tied,middle_period,p3
2025020945,2530076,0,1,34.79,18.435,snap,not_rebound,not_rush,ev,left,false,faceoff,3,tied,middle_period,p3
2025020466,3470559,0,1,49.48,14.036,snap,not_rebound,not_rush,ev,right,true,hit,6,tied,early_period,p1
2025020466,3470561,0,1,5.39,68.199,deflection,rebound,not_rush,ev,center,unknown,shot-on-goal,2,tied,early_period,p1
2025020466,3470569,0,1,30.46,113.199,snap,not_rebound,not_rush,ev,left,true,hit,4,tied,early_period,p1
2025020466,3470574,0,0,19.21,128.660,backhand,rebound,rush_rebound,ev,left,true,shot-on-goal,1,tied,early_period,p1
2025020945,2530081,0,1,45.54,8.842,snap,not_rebound,not_rush,ev,center,unknown,giveaway,30,tied,middle_period,p3
2025020945,2530082,0,1,38.59,58.782,snap,rebound,not_rush,ev,right,true,shot-on-goal,3,tied,middle_period,p3
2025020945,2530089,0,0,48.17,41.634,snap,not_rebound,not_rush,ev,right,unknown,blocked-shot,30,tied,late_period,p3
2025020945,2530092,0,0,13.60,143.973,backhand,not_rebound,not_rush,ev,center,unknown,faceoff,4,tied,final_5,p3
2025020945,2530093,0,1,36.00,0.000,snap,not_rebound,not_rush,ev,center,unknown,missed-shot,40,tied,final_5,p3
2025020945,2530097,0,1,27.80,37.694,snap,not_rebound,not_rush,ev,right,true,blocked-shot,32,tied,final_5,p3
2025020945,2530103,0,1,47.04,177.563,snap,not_rebound,not_rush,ev,center,unknown,blocked-shot,13,tied,final_5,p3
2025020945,2530111,0,0,47.17,122.005,snap,not_rebound,rush_attempt,ev,right,true,blocked-shot,5,tied,final_5,p3
2025020945,2530124,0,1,24.70,58.241,poke,not_rebound,rush_attempt,ev,right,false,takeaway,1,tied,final_5,p3
2025020945,2530137,0,1,33.62,157.249,snap,not_rebound,not_rush,ev,right,true,blocked-shot,11,tied,final_5,ot
2025020945,2530139,0,0,30.02,150.018,snap,not_rebound,not_rush,ev,right,true,shot-on-goal,26,tied,final_5,ot
2025020945,2530141,0,0,26.08,4.399,snap,not_rebound,not_rush,ev,center,unknown,missed-shot,43,tied,final_5,ot
2025020945,2530143,1,1,7.28,15.945,snap,not_rebound,not_rush,ev,center,unknown,missed-shot,4,tied,final_5,ot
2025020060,2166953,0,0,57.58,159.677,snap,not_rebound,rush_attempt,ev,right,false,blocked-shot,6,tied,early_period,p1
2025020060,2166958,0,1,29.43,9.782,deflection,not_rebound,not_rush,ev,center,unknown,hit,14,tied,middle_period,p1
2025020060,2166963,0,1,7.00,180.000,tip,not_rebound,not_rush,pp,center,unknown,faceoff,4,tied,middle_period,p1
