"*050hg*","105","Olle Alsing","","D","750000"
"*01zu4*","106","Mark Alt","SJS","D","750000"
"*06cg2*","107","Dennis Altorn","","F","750000"
"*02npu*","108","Daniel Altshuller","","G","750000"
"*04f1a*","109","Andrei Altybarmakyan","","F","750000"
"*05226*","110","Ilya Altybarmakyan","","F","750000"
"*03yfk*","111","Matthew Alvaro","","F","750000"
"*004of*","112","Karl Alzner","","D","750000"
"*03ebr*","113","Michael Amadio","OTT","F","2600000"
"*05o4m*","114","Nils Aman","","F","825000"
"*05ltz*","115","Colby Ambrosio","COL","F","750000"
"*076y6*","116","Lucas Ambrosio","LAK","D","750000"
"*01n8c*","117","Seth Ambroz","","F","750000"
"*01dlp*","118","Andres Ambuhl","","F","750000"
"*06sqi*","119","Carter Amico","PHI","D","750000"
"*06uhb*","120","Lirim Amidovski","MIN","F","750000"
"*0440q*","121","Ty Amonte","","F","750000"
"*031qi*","122","Terrance Amorosa","MTL","D","750000"
"*076q4*","123","Landon Amrhein","","F","750000"
"*03aqr*","124","Sam Anas","WSH","F","750000"
"*06mbf*","125","Daniil Anatsky","","F","750000"
"*065h0*","126","Julien Anctil","DET","F","750000"
"*076x8*","127","Morgan Anderberg","TBL","F","750000"
"*01zry*","128","Frederik Andersen","EDM","G","2800000"
"*03qb9*","129","Niclas Andersen","","D","750000"
"*074me*","130","Poul Andersen","","F","750000"
"*023p1*","131","Brandon Anderson","","G","750000"
"*00zfw*","132","Chad Anderson","MTL","D","750000"
"*076xp*","133","Darian Anderson","NYR","F","750000"
"*06ay3*","134","Hunter Anderson","","F","750000"
"*023ov*","135","J.P. Anderson","SJS","G","750000"
"*0746e*","136","Jack Anderson","DAL","D","1050000"
"*042wa*","137","Joey Anderson","CHI","F","800000"
"*02o70*","138","Josh Anderson","MTL","F","5500000"
"*060pr*","139","Kent Anderson","","D","750000"
"*02dqc*","140","Matt Anderson","TOR","F,D","750000"
"*04f1z*","141","Mikey Anderson","LAK","D","4125000"
"*04f0s*","142","Jaret Anderson-Dolan","","F","775000"
"*0760l*","143","Adam Andersson","MIN","F","750000"
"*04f8p*","144","Anton Andersson","STL","D","750000"
"*04qy9*","145","Axel Andersson","","D","750000"
"*02nqm*","146","Calle Andersson","","D","750000"
"*01bvg*","147","Joakim Andersson","","F","750000"
"*048wz*","148","Lias Andersson","MTL","F","750000"
"*07740*","149","Ludvig Andersson","","F","750000"
"*01uos*","150","Peter Andersson","","D","750000"
"*03rf5*","151","Rasmus Andersson","VGK","D","750000"
"*05rim*","152","Yusaku Ando","","F","750000"
"*05o66*","153","Corey Andonovski","FLA","F","750000"
"*06cec*","154","Matthew Andonovski","OTT","D","928333"
"*05k9a*","155","Emil Andrae","TOR","D","925000"
"*060q5*","156","Pontus Andreasson","DET","F","750000"
"*05224*","157","Cedrick Andree","","G","750000"
"*06h9l*","158","Max Andreev","","F","750000"
"*05uw0*","159","Viggo Andren","","G","750000"
"*04ofx*","160","Viktor Andren","","G","750000"
"*02eg3*","161","Andy Andreoff","","F","750000"
"*02fk7*","162","Brent Andrews","","F","750000"
"*06qqd*","163","Pyotr Andreyanov","CBJ","G","750000"
"*05ybi*","164","Maxim Andreyev","","F","750000"
"*02zri*","165","Sven Andrighetto","","F","750000"
"*01nlk*","166","Sergey Andronov","","F","750000"
"*01zuj*","167","Bryce Aneloski","OTT","D","750000"
"*042wp*","168","Jonathan Ang","","F","750000"
"*004lp*","169","Mike Angelidis","CGY","F","750000"
"*03ed3*","170","Anthony Angello","","F","750000"
"*051wd*","171","Tyler Angle","","F","750000"
"*06803*","172","Dylan Anhorn","CHI","D","850000"
"*0243t*","173","Vitaly Anikeyenko","OTT","D","750000"
"*00404*","174","Artem Anisimov","DET","F","750000"
"*06tb2*","175","Karl Annborn","SEA","D","750000"
"*04qyd*","176","Justus Annunen","NSH","G","1250000"
"*04gei*","177","Nikita Anokhovski","","F","750000"
"*06bnl*","178","Ivan Anoshko","","F","750000"
"*048te*","179","Brandon Anselmini","","D","750000"
"*01bvi*","180","Sergei Anshakov","PIT","F","750000"
"*05no8*","181","Raivis Ansons","","F","750000"
"*023oz*","182","Steven Anthony","","F","750000"
"*02yev*","183","Victor Antipin","","D","750000"
"*04xtd*","184","Joose Antonen","","F","750000"
"*03et9*","185","Eliot Antonietti","","D","750000"
"*051x6*","186","Danil Antropov","","F","750000"
"*05xmy*","187","Eetu Anttila","","G","750000"
"*03xne*","188","Daniil Apalkov","","F","750000"
"*064tt*","189","Tommy Apap","","F","750000"
"*03kpg*","190","Ken Appleby","TOR","G","750000"
"*03rj0*","191","Mason Appleton","DET","F","2900000"
"*003ys*","192","Luciano Aquino","","F","750000"
"*02fq2*","193","Olivier Archambault","","F","750000"
"*003ux*","194","Andrew Archer","","D","750000"
"*01zuq*","195","Brandon Archibald","","D","750000"
"*0256z*","196","Darren Archibald","","F","750000"
"*02iqz*","197","Josh Archibald","","F","750000"
"*026hb*","198","Mark Arcobello","","F","750000"
"*05ubd*","199","Francesco Arcuri","","F","750000"
"*060nz*","200","Maxim Arefyev","","G","750000"
"*06mb9*","201","Charles Arend","","F","750000"
"*03nqj*","202","Jayson Argue","","G","750000"
"*076yd*","203","Luka Arkko","DET","F","750000"
"*03miy*","204","Mantas Armalis","","G","750000"
"*02b3d*","205","Joel Armia","LAK","F","2500000"
"*0044z*","206","Colby Armstrong","","F","750000"
"*043c2*","207","Jamie Armstrong","","F","750000"
"*004j8*","208","John Armstrong","CGY","F","750000"
"*00462*","209","Riley Armstrong","","F","750000"
"*04l7o*","210","Derek Army","NSH","F","750000"
"*031oh*","211","Linus Arnesson","","D","750000"
"*01df8*","212","Jamie Arniel","","F","750000"
"*01ztd*","213","Bill Arnold","","F","750000"
"*02ir3*","214","Scott Arnold","","F","750000"
"*060om*","215","Liam Arnsby","FLA","F","750000"
"*06r68*","216","Jonas Arntzen","","G","750000"
"*023p2*","217","Taylor Aronson","","D","750000"
"*03km0*","218","Vincent Arseneau","MTL","F","750000"
"*06luy*","219","Nikita Artamonov","CAR","F","750000"
"*00qnv*","220","Evgeny Artyukhin","","F","750000"
"*065h2*","221","Brad Arvantis","","G","750000"
"*02zpp*","222","Viktor Arvidsson","DET","F","5000000"
"*01f69*","223","Carter Ashton","","F","750000"
"*06mhr*","224","Luke Ashton","CBJ","D","750000"
"*0529k*","225","Yaroslav Askarov","SJS","G","2000000"
"*03rod*","226","Cameron Askew","","F","750000"
"*03wlc*","227","Keegan Asmundson","","G","750000"
"*05ykh*","228","Matthias Asperup","","F","750000"
"*06mqk*","229","Nathan Aspinall","NYR","F","955555"
"*04xc8*","230","Jonathan Aspirot","BOS","D","887500"
"*04fjb*","231","Jonatan Asplund","","D","750000"
"*061bj*","232","Oskar Asplund","","D","750000"
"*03wpl*","233","Rasmus Asplund","FLA","F","750000"
"*0510m*","234","Samuel Asselin","NYI","F","750000"
"*003rd*","235","Peter Aston","","D","750000"
"*0440o*","236","Zachary Aston-Reese","PHI","F","750000"
"*03wh5*","237","Spencer Asuchak","","F","750000"
"*05ua4*","238","Vasili Atanasov","","F","750000"
"*02nqh*","239","Andreas Athanasiou","CHI","F","750000"
"*015sl*","240","P.J. Atherton","DET","D","750000"
"*01yj4*","241","Cam Atkinson","","F","750000"
"*0597n*","242","Josh Atkinson","","D","750000"
"*050mn*","243","Ronnie Attard","COL","D","750000"
"*0598n*","244","Arvin Atwal","NSH","D","750000"
"*03eav*","245","Nicolas Aube-Kubel","MIN","F","775000"
"*004m9*","246","Brent Aubin","","F","750000"
"*004kk*","247","Mathieu Aubin","","F","750000"
"*05xde*","248","Tom Aubrun","CHI","G","750000"
"*01zqh*","249","Louis-Marc Aubry","","F","750000"
"*05oxx*","250","Kyle Aucoin","TBL","D","750000"
"*03ed5*","251","Daniel Audette","","F","750000"
"*031pp*","252","Justin Auger","","F","750000"
